business_name,niche,city,website,phone,email,website_design_score,mobile_score,cta_score,trust_score,branding_score,lead_opportunity_score,total_score,likely_offer_fit,top_issues,contact_method,outreach_status,follow_up_status,notes
Vista Landscape,landscaping,San Jose,https://www.vistalandscapesj.com/,(408) 831-0876,,5,4,3,4,4,5,25,Lead Gen Website Rebuild,"Homepage states 'THIS IS A NEW WEBSITE STILL UNDER CONSTRUCTION'; thin content with only basic services/contact blocks; no visible testimonials/gallery/social proof on homepage",phone,not_contacted,,YP lists 3075 Rose Ave San Jose CA 95127; site title reads lawn care maintenance | San Jose California
Bill's Tree Care And Landscape Inc.,landscaping,San Jose,http://billstreecareandlandscapeinc.localsearch.com/,408-448-3956,,4,4,2,5,4,4,23,Lead Gen Website Rebuild,"Generic localsearch microsite; review section shows 'undefined' which hurts trust; mostly text/phone with weak visual branding and no real proof gallery",phone,not_contacted,,12 San Jose Ave San Jose CA 95125 from site
A Rodriguez Landscaping Service,landscaping,San Jose,http://arodriguezlandscapingservice.localsearch.com/,408-449-9014,,4,4,2,4,4,5,23,Lead Gen Website Rebuild,"Generic template microsite; no strong proof elements like reviews/project photos/licenses; CTA is basically just a phone number with no quote flow",phone,not_contacted,,380 N 16th St San Jose CA 95112 from site
Seven King's Expert Tree Service & Stump Grinding,landscaping,San Jose,http://sevenkingsexperttreeservicestumpgrinding.localsearch.com/,408-661-0504,,4,4,2,4,4,4,22,Lead Gen Website Rebuild,"Long text-heavy page with dated microsite feel; no strong visual project proof or modern trust blocks; conversion path is mainly call-only",phone,not_contacted,,978 S 10th St San Jose CA 95112 from site
Andres Landscaping & Maintenance,landscaping,San Jose,http://andreslandscapingmaintenance.localsearch.com/,831-476-5875,,4,4,2,3,4,4,21,Quick Conversion Refresh,"Template-style microsite with weak branding; service list is broad but page lacks clear project proof/gallery; CTA is call-focused with no estimate form or service-area clarity",phone,not_contacted,,YP lists San Jose CA 95127 service area; drought-tolerant positioning could be sharpened
Interior Plant Design,landscaping,San Jose,https://interiorplantdesign.com/,(408) 286-1367,,3,3,4,3,3,3,19,Quick Conversion Refresh,"Homepage content is education-heavy and not conversion-first; weak above-the-fold CTA for quote/consult; limited immediate proof/service-area clarity for buyers landing cold",phone,not_contacted,,1950 Monterey Hwy San Jose CA 95112 from YP; niche is interior plant design rather than outdoor residential landscaping
Bayscape,landscaping,San Jose,https://bayscape.net/,+1 408 288 2940,info@bayscape.net,2,2,3,3,2,3,15,hold,"Homepage copy is credible but CTA is not very forceful in fetched view; value proposition skews broad commercial/residential rather than direct quote conversion; already looks comparatively established",email,not_contacted,,OSM lists 1350 Pacific Ave San Jose CA 95002 and info@bayscape.net
South Valley Landscape Construction,landscaping,San Jose,http://southvalleylandscape.com/,,,5,5,5,5,5,5,30,Lead Gen Website Rebuild,"Homepage shows placeholder slider posts and lorem ipsum-style content; extremely weak trust and service clarity; broken/unfinished experience creates major conversion leakage",phone,not_contacted,,OSM lists 3150 Almaden Expressway San Jose CA 95118; one of the clearest rebuild targets
BellaVista Landscape Services,landscaping,San Jose,https://bvls.com/,,,2,2,3,2,2,3,14,hold,"Professional site with clear service lines reduces immediate upside; CTA in fetched view is less aggressive than lead-gen focused local sites; commercial/multi-family focus may be less ideal for initial homeowner offer",phone,not_contacted,,OSM lists 240 San Jose Ave San Jose CA 95125
Jeff Hubbell Landscaping,landscaping,San Jose,http://www.hubbelllandscaping.com/,(669) 247-0360,,3,3,2,3,3,4,18,Quick Conversion Refresh,"Repeated hero copy suggests light polish issues; limited proof depth visible in fetched homepage; service-area headline is decent but site could convert harder with stronger trust and estimate flow",phone,not_contacted,,YP says Serving the San Jose Area; based in Royal Oaks CA
